City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
204,Zaysan,KZ,2020-01-14 04:48:07,47.47,84.87,18.09,96,100,3.6
205,Koygorodok,RU,2020-01-14 04:48:07,60.45,51.0,13.41,96,96,4.14
206,Faya,SA,2020-01-14 04:48:07,18.39,42.45,46.4,93,5,3.0
207,Clyde River,CA,2020-01-14 04:48:07,70.47,-68.59,-7.6,76,90,12.75
208,Nikolskoye,RU,2020-01-14 04:48:07,59.7,30.79,37.0,87,90,13.42
209,Coahuayana,MX,2020-01-14 04:38:21,18.73,-103.68,77.0,65,20,2.59
210,Kajaani,FI,2020-01-14 04:48:08,64.17,27.67,30.2,86,68,10.29
211,Lardos,GR,2020-01-14 04:48:08,36.09,28.02,54.0,81,40,3.36
212,Ola,RU,2020-01-14 04:48:08,59.58,151.28,2.26,73,100,5.35
213,Bathsheba,BB,2020-01-14 04:48:08,13.22,-59.52,77.0,78,75,26.4
214,Gebre Guracha,ET,2020-01-14 04:48:09,9.8,38.4,65.59,57,2,5.75
215,Plettenberg Bay,ZA,2020-01-14 04:48:09,-34.05,23.37,73.54,83,44,4.88
216,Kabinda,CD,2020-01-14 04:48:09,-6.13,24.48,73.89,81,21,1.05
217,Bako,ET,2020-01-14 04:47:15,5.78,36.57,70.36,70,99,1.28
218,Cabo San Lucas,MX,2020-01-14 04:48:10,22.89,-109.91,68.0,63,5,3.78
219,Kropotkin,RU,2020-01-14 04:48:10,45.44,40.58,33.01,80,85,5.79
220,Isiro,CD,2020-01-14 04:48:11,2.77,27.62,69.78,42,59,2.44
221,Salalah,OM,2020-01-14 04:48:11,17.02,54.09,64.4,25,64,16.11
222,Florianopolis,BR,2020-01-14 04:48:11,-27.61,-48.5,75.2,88,40,8.05
223,Araouane,ML,2020-01-14 04:47:14,18.9,-3.53,48.2,40,0,12.93
224,Bakchar,RU,2020-01-14 04:48:12,57.02,82.07,9.77,90,100,12.06
225,Christchurch,NZ,2020-01-14 04:48:12,-43.53,172.63,63.0,55,1,16.11
226,Bridgeton,US,2020-01-14 04:48:12,39.43,-75.23,41.0,100,1,4.16
227,Tiksi,RU,2020-01-14 04:48:12,71.69,128.87,-16.69,88,90,5.21
